Shared		Tooltips		Strat		Quotes		Export_Buildings		Expanded	
ST_STATE_IS_HOSTAGE	Held hostage	TMT_MANAGEMENT_LEVEL_3	tooltips.txt:TMT_MANAGEMENT_LEVEL_3	SMT_NAVY_DETAILS	Navy Details	Anyone who wishes to fight the Turks is mad, for Jesus Christ does not fight them any more. They have conquered, they will conquer. For every day they drive us down, knowing that God, who was awake, sleeps now, and Muhammad waxes powerful	A Templar Knight in the Seventh Crusade				
ST_STATE_HIDING	Hiding	TMT_MANAGEMENT_LEVEL_4	tooltips.txt:TMT_MANAGEMENT_LEVEL_4	SMT_ENEMY_NAVY_DETAILS	Enemy Navy Details	To form the whole army simply in one line . . . for a general cavalry battle and to hold nothing in reserve for various eventualities in case of a reverse is the mark of an inexperienced and absolutely reckless man	Strategikon				
ST_STATE_ENEMY_TERRITORY	In enemy territory	TMT_MANAGEMENT_LEVEL_5	tooltips.txt:TMT_MANAGEMENT_LEVEL_5	SMT_ALLIED_NAVY_DETAILS	Allied Navy Details	Well timed attacks against the enemy’s flanks and rear are much more effective and decisive than direct frontal charges and attacks. . . . do not mass all your troops in front, and even if the enemy is superior in numbers, direct your operations against his rear or his flanks. For it is dangerous and uncertain under all conditions and against any people to engage in purely frontal combat. 	Strategikon				
ST_STATE_DIPLOMACY	Holding talks	TMT_MANAGEMENT_LEVEL_6	tooltips.txt:TMT_MANAGEMENT_LEVEL_6	SMT_NEUTRAL_NAVY_DETAILS	Neutral Navy Details	Wild animals are taken by scouting, by nets, by lying in wait, by stalking, by circling around, and by other such stratagems rather than by sheer force	Strategikon				
ST_KEYBOARD_SHORTCUTS	Keyboard shortcuts	TMT_MANAGEMENT_LEVEL_7	tooltips.txt:TMT_MANAGEMENT_LEVEL_7	SMT_SETTLEMENT_DETAILS	Settlement Details	A wise commander will not engage the enemy in a pitched battle unless a truly exceptional opportunity presents itself. 	Strategikon 				
ST_TIME_TO_REINFORCE_X_HOURS	Will arrive on battlefield in %d hours	TMT_MANAGEMENT_LEVEL_8	tooltips.txt:TMT_MANAGEMENT_LEVEL_8	SMT_ENEMY_SETTLEMENT_DETAILS	Enemy Settlement Details	Indignatio Principis Mors Est- The Anger of the Prince means death	Medieval English Saying				
ST_ONE_HOUR_TO_REINFORCE	Will arrive on battlefield in 1 hour	TMT_MANAGEMENT_LEVEL_9	tooltips.txt:TMT_MANAGEMENT_LEVEL_9	SMT_NEUTRAL_SETTLEMENT_DETAILS	Neutral Settlement Details	The sharp general takes into account not only probable dangers, but also those which may be totally unexpected	Strategikon				
ST_OR	or	TMT_MANAGEMENT_LEVEL_10	tooltips.txt:TMT_MANAGEMENT_LEVEL_10	SMT_ALLIED_SETTLEMENT_DETAILS	Allied Settlement Details	For only those battle plans are successful which the enemy does not suspect before we put them into action. 	Strategikon				
ST_AND	and	TMT_SUBTERFUGE_LEVEL_0	So naive and innocent is this one, he lacks the cunning to sneak up on even a corpse	SMT_FORT_DETAILS	Fort Details	It is very important to spread rumours among the enemy that you are planning one thing; then go and do something else. The enemy should be deceived by false reports of our plans brought to them by deserters from you	Strategikon				
ST_COMMAND	Command	TMT_SUBTERFUGE_LEVEL_1	Clumsy and conspicuous, only a fool would rely on this man for acts of espionage	SMT_ENEMY_FORT_DETAILS	Enemy Fort Details	A general should act like a good wrestler, he should feint in one direction to try to deceive his adversary and then make good use of the opportunities he finds, and in this way he will overpower the enemy. 	Strategikon				
ST_INFLUENCE	Influence	TMT_SUBTERFUGE_LEVEL_2	He may be willing to do the dubious, but he lacks the guile and cunning to do it well	SMT_ALLIED_FORT_DETAILS	Allied Fort Details	In war, as in hunting, a near miss is still a complete miss	Strategikon				
ST_MANAGEMENT	Management	TMT_SUBTERFUGE_LEVEL_3	More cunning than most of the night watch... But not all of them	SMT_NEUTRAL_FORT_DETAILS	Neutral Fort Details	Rarely do great beauty and great virtue dwell together 	Francesco Petrarch (Italian Scholar, Poet and Humanist, 1304-1374)				
ST_SUBTERFUGE	Subterfuge	TMT_SUBTERFUGE_LEVEL_4	Usually capable of pulling off minor acts of espionage given the proper preparation	SMT_SET_HEIR	Set faction heir	Man has no greater enemy than himself	Francesco Petrarch (Italian Scholar, Poet and Humanist, 1304-1374)				
ST_DOCTOR	Doctor	TMT_SUBTERFUGE_LEVEL_5	Discreet and delicate enough to be entrusted with dangerous clandestine tasks	SMT_PREV_CITY	Select the previous city	Silence gives consent 	Pope Boniface VIII 				
ST_QUARTERMASTER	Quartermaster	TMT_SUBTERFUGE_LEVEL_6	Has proven more than capable of committing cunning clandestine acts	SMT_NEXT_CITY	Select the next city	It is more honourable to be raised to a throne than to be born to one. Fortune bestows the one, merit obtains the other 	Francesco Petrarch (Italian Scholar, Poet and Humanist, 1304-1374)				
ST_PRIEST	Priest	TMT_SUBTERFUGE_LEVEL_7	Foxes and weasels have nothing on this man in terms of raw cunning	SMT_NEXT_CHARACTER	Select the next character	Books have led some to learning and others to madness 	Francesco Petrarch (Italian Scholar, Poet and Humanist, 1304-1374)				
ST_SCOUT	Scout	TMT_SUBTERFUGE_LEVEL_8	Not even a bloodhound could track this man's movements, he is but a shadow	SMT_PREV_CHARACTER	Select the previous character	Suspicion is the cancer of friendship	Francesco Petrarch (Italian Scholar, Poet and Humanist, 1304-1374)				
ST_ENGINEER	Engineer	TMT_SUBTERFUGE_LEVEL_9	This man is the embodiment of subtlety, secrecy and stealth	SMT_NEXT_UNIT	Select the next unit	I came, I saw, and God conquered	Charles V, King of Spain and Holy Roman Emperor				
ST_DOCTORS	Doctors	TMT_SUBTERFUGE_LEVEL_10	Like the shadows themselves, this man is everywhere at once without being tangible anywhere. 	SMT_PREV_UNIT	Select the previous unit	Who has a harder fight than he who is striving to overcome himself	Thomas a Kempis (German Writer, 1379-1471)				
ST_QUARTERMASTERS	Quartermasters	TMT_TOGGLE_AUTOMANAGEMENT	Toggle auto-management of this settlement	SMT_PREV_FORT	Select the previous fort	Remember that lost time does not return	Thomas a Kempis (German Writer, 1379-1471)				
ST_SCOUTS	Scouts	TMT_DECREASE_TAXATION	Decrease taxation	SMT_NEXT_FORT	Select the next fort	What difference does it make to you what someone else becomes, or says, or does? You do not need to answer for others, only for yourself	Thomas a Kempis (German Writer, 1379-1471)				
ST_ENGINEERS	Engineers	TMT_INCREASE_TAXATION	Increase taxation	SMT_FOOD_SUPPLIES	Food supplies	Be not angry that you cannot make others as you wish them to be, since you cannot make yourself as you wish to be.	Thomas a Kempis (German Writer, 1379-1471)				
ST_PRIESTS	Priests	TMT_CHANGE_GOVERNOR_POLICY	Change governor policy	SMT_STATE_REVOLTING	The peasants in this settlement are rioting, and may enter open revolt	It is much safer to obey, than to govern	Thomas a Kempis (German Writer, 1379-1471)				
ST_TOWERS	Towers	TMT_DECREASE_GAMES_FREQUENCY	Decrease frequency of games and/or races	SMT_STATE_NOT_REVOLTING	No signs of peasant dissent in this settlement	Out of sight, out of mind. The absent are always in the wrong.	Thomas a Kempis (German Writer, 1379-1471)				
ST_LADDERS	Ladders	TMT_INCREASE_GAMES_FREQUENCY	Increase frequency of games and/or races	SMT_STATE_UNDER_SIEGE	This settlement is under siege	First keep peace with yourself, then you can also bring peace to others	Thomas a Kempis (German Writer, 1379-1471)				
ST_RAMS	Rams	TMT_CURRENTLY_SELECTED_CHARACTER	Character currently selected:	SMT_STATE_NOT_UNDER_SIEGE	This settlement is not under siege	Oh, how swiftly the glory of the world passes away!	Thomas a Kempis (German Writer, 1379-1471)				
ST_SAPPING	Sapping	TMT_CURRENTLY_SELECTED_SETTLEMENT	Settlement currently selected:	SMT_STATE_HOLDING_GAMES	This settlement is holding games	I would far rather feel remorse than know how to define it.	Thomas a Kempis (German Writer, 1379-1471)				
ST_SIEGE_TOWER	Siege Tower	TMT_CURRENTLY_SELECTED_FORT	Fort currently selected	SMT_STATE_NOT_HOLDING_GAMES	DO NOT TRANSLATE - No games are being held in the settlement	Of two evils we must always choose the least.	Thomas a Kempis (German Writer, 1379-1471)				
ST_LADDER	Ladder	TMT_CURRENTLY_SELECTED_RALLY_POINT	Rally point currently selected	SMT_STATE_PLAGUE	Plague stalks the streets of this settlement	My child, it will be better for you if you accept my decisions without complaint. Do not ask me to defend my actions or to explain why one person is favoured and another seems slighted. The answers to these questions go far beyond your comprehension.	Thomas a Kempis (German Writer, 1379-1471)				
ST_RAM	Ram	TMT_CURRENTLY_SELECTED_RALLY_POINTS	Rally points currently selected	SMT_STATE_NOT_PLAGUED	No signs of the plague in this settlement	Caesar or nothing.	Cesare Borgia				
ST_SAP_POINT	Sap Point	TMT_LCLICK_ZOOM_TO_POS	Left-click to locate item on map	SMT_FERTILE_LOW	Low fertility	The hottest places in hell are reserved for those who in times of great moral crises maintain their neutrality	Dante Alighieri				
ST_NAMED_CHARACTER	Family member	TMT_SHOW_SELECTED_ITEM	This area shows the currently selected item	SMT_FERTILE_MEDIUM	Medium fertility	From a little spark may burst a flame.	Dante Alighieri				
ST_SPY	Spy	TMT_FIELD_CONSTRUCTION_TEST_NO_GENERAL	Armies without generals cannot construct forts or watchtowers	SMT_FERTILE_HIGH	High fertility	Wealth dies, kinsmen die, for every man is mortal. Yet words of praise will never perish nor a noble name.	The Havamal, Words of Odin				
ST_ASSASSIN	Assassin	TMT_FIELD_CONSTRUCTION_TEST_NOT_NAMED_CHARACTER	Only generals can commission forts and watchtowers	SMT_WILDERNESS	Wilderness	Were his lord but worthy, God, how fine a vassal	Rodrigo Díaz de Vivar (El Cid)				
ST_DIPLOMAT	Diplomat	TMT_FIELD_CONSTRUCTION_TEST_IN_SEA_REGION	Cannot build a fort or watchtower in the sea	SMT_MOUNTAINS_HIGH	High mountains	I intend to die in a tavern; let the wine be placed near my dying mouth, so that when the choirs of angels come, they may say, God be merciful to this drinker. 	Walter Map, Welsh-English writer c. 1165				
ST_EGYPT_ADMIRAL	Grand Master of the Sea	TMT_FIELD_CONSTRUCTION_TEST_FORT_IN_ENEMY_TERRITORY	Cannot build a fort in enemy territory	SMT_MOUNTAINS_LOW	Low mountains	Do not hold as gold all that shines as gold. 	Alain de Lille c 1175				
ST_ADMIRAL	Admiral	TMT_FIELD_CONSTRUCTION_TEST_FORT_INVALID_GAME_TILE	This is an invalid position for a fort	SMT_HILLS	Hills	The cart has no place for a fifth wheel	Herbort von Fritzlar c. 1210				
ST_GENERAL	Captain	TMT_FIELD_CONSTRUCTION_TEST_FORT_NOT_ENOUGH_MONEY	You do not have enough money to build a fort	SMT_FOREST_DENSE	Dense forest	Against the disease of writing, one must take special precautions, since it is a dangerous and contagious disease 	Peter Abelard, French Theologian c.1105				
ST_ANCILLARY	Ancillary units	TMT_FIELD_CONSTRUCTION_TEST_WATCHTOWER_IN_ENEMY_TERRITORY	Cannot build a watchtower in enemy territory	SMT_FOREST_SPARSE	Woodland	Then rose the Abbot of Vaux, of the order of the Cistercians and said to them: Lords, I forbid you, on the part of the Pope of Rome, to attack this city; for those within are Christians, and you are pilgrims. 	Villehardouin, in the Fourth Crusade. 1202 -1206				
ST_SIEGE_ENGINES	Siege engines	TMT_FIELD_CONSTRUCTION_TEST_WATCHTOWER_INVALID_GAME_TILE	This is an invalid position for a watchtower	SMT_SWAMP	Swamp	Thus the decision was taken. The next morning the host encamped before the gates of the city. They set up their petraries and mangonels, and other engines of war, which they had in plenty, and on the side of the sea they raised ladders from the ships. 	Villehardouin, in the Fourth Crusade. 1202 -1206				
ST_UNITS	Units	TMT_FIELD_CONSTRUCTION_TEST_WATCHTOWER_NOT_ENOUGH_MONEY	You do not have enough money to build a watchtower	SMT_OCEAN	Ocean	These swore on holy relics that they would perform their embassage loyally and in good faith, and that they would come back to the host. 	Villehardouin, in the Fourth Crusade. 1202 -1206				
ST_CULTURE_GREEK	Greek	TMT_NOT_ENOUGH_MONEY_FOR_FORT_OR_WATCHTOWER	You do not have enough money to build a fort or watchtower	SMT_SEA_DEEP	Deep sea	And the Burgundians ran upon the Greeks and drove them in very fiercely, and followed so close to the gate that stones of great weight were hurled upon them. And there did William of Champlitte have his arm broken with a stone, and great pity was, for he was very brave and very valiant. 	Villehardouin, in the Fourth Crusade. 1202 -1206				
ST_EDIT_SETTLEMENT	Edit settlement	TMT_CANNOT_RECRUIT_UNITS_IN_BATTLE	You cannot recruit units or mercenaries once a battle has been instigated	SMT_SEA_SHALLOW	Shallow sea	Then might you have seen the mangonels shoot from the ships and transports, and the crossbow bolts flying, and the bows letting fly their arrows deftly and well; and those within defending the walls and towers very fiercely; and the ladders on the ships coming so near that in many places swords and lances crossed; and the tumult and noise were so great that it seemed as if the very earth and sea were melting together. 	Villehardouin, in the Fourth Crusade. 1202 -1206				
ST_SELECT_SETTLEMENT_LEVEL	Level	TMT_NO_BODYGUARD_UNIT_TO_VIEW	There is no bodyguard unit to view for this character	SMT_BEACH	Coast	All by myself, wrapped in my thoughts, And building castles in Spain and in France. 	Charles de Orleans c. 1425 				
ST_FORTIFICATION_LEVEL	Fortification level	TMT_NOT_ENOUGH_INFO_FOR_BODYGUARD	Not enough information gathered about this character to view his bodyguard unit	SMT_IMPASSABLE_LAND	Impassable	Such a fellowship of good knights shall never be together in no company	Sir Thomas de Malory c. 1425 				
ST_TAX	Tax level	TMT_SETTLEMENT_STATUS_AUTOMANAGED	This settlement is auto-managed	SMT_IMPASSABLE_SEA	Impassable	Kingdoms are but cares, State devoid of stay; Riches are ready snares, And hasten to decay	Henry VI c. 1450				
ST_POPULATION	Population	TMT_CANNOT_ATTACK_SIEGED_SETTLEMENT	Cannot lay siege to a settlement that is besieged by a non allied faction	SMT_FAMINE_THREAT_OK	None	There is no good speech save in Paris. 	Francois Villon, French poet and thief c. 1450 				
ST_FOUNDATION_YEAR	Foundation year	TMT_CANNOT_CONSTRUCT_WHILST_SIEGING	Cannot build forts or watchtowers whilst laying siege	SMT_FAMINE_THREAT_HUNGRY	Hungry	Order them to accompany you to the enemy’s country; if they obey, well and good; if they refuse, lay siege to their cities, attack them one after the other, and destroy them without mercy. 	Ibn Tashfin talking to his generals before the conquering of Andalusia				
